,Meta_DL_TwoStage,Meta_DL_End2End,Meta_ML_LightGBM,Meta_ML_CatBoost
GANomaly,0.0,0.0,0.0,0.0
DeepSAD,0.002,0.008,0.001,0.004
REPEN,0.0,0.0,0.0,0.0
DevNet,0.028,0.076,0.02,0.115
PReNet,0.02,0.084,0.03,0.099
FEAWAD,0.003,0.011,0.001,0.009
XGBOD,0.905,0.95,0.87,0.972
LR,0.03,0.048,0.009,0.048
NB,0.005,0.048,0.0,0.002
SVM,0.0,0.0,0.0,0.0
MLP,0.002,0.006,0.0,0.002
RF,0.0,0.001,0.0,0.0
LGB,0.273,0.302,0.18,0.312
XGB,0.392,0.512,0.346,0.404
CatB,1.0,1.0,0.999,1.0
ResNet,0.0,0.0,0.0,0.0
FTTransformer,0.051,0.08,0.008,0.051
Meta_baseline_rs,0.0,0.0,0.0,0.0
Meta_baseline_ss,0.0,0.0,0.0,0.0
Meta_baseline_gt,1.0,1.0,1.0,1.0
