,Meta_DL_TwoStage,Meta_DL_End2End,Meta_ML_LightGBM,Meta_ML_CatBoost
GANomaly,0.0,0.0,0.0,0.0
DeepSAD,0.053,0.086,0.002,0.0
REPEN,0.0,0.0,0.0,0.0
DevNet,0.342,0.245,0.004,0.021
PReNet,0.776,0.758,0.189,0.106
FEAWAD,0.384,0.158,0.0,0.0
XGBOD,0.996,1.0,0.94,0.88
LR,0.048,0.057,0.0,0.0
NB,0.004,0.001,0.0,0.0
SVM,0.041,0.039,0.003,0.002
MLP,0.406,0.373,0.039,0.015
RF,0.965,0.996,0.45,0.417
LGB,0.993,1.0,0.82,0.835
XGB,0.98,0.997,0.698,0.594
CatB,1.0,1.0,1.0,1.0
ResNet,0.115,0.089,0.003,0.006
FTTransformer,0.82,0.862,0.057,0.094
Meta_baseline_rs,0.0,0.0,0.0,0.0
Meta_baseline_ss,0.118,0.197,0.003,0.006
Meta_baseline_gt,1.0,1.0,1.0,1.0
