,Meta_DL_TwoStage,Meta_DL_End2End,Meta_ML_LightGBM,Meta_ML_CatBoost
GANomaly,0.0,0.0,0.0,0.0
DeepSAD,0.0,0.0,0.0,0.0
REPEN,0.0,0.0,0.0,0.0
DevNet,0.45,0.678,0.039,0.06
PReNet,0.417,0.932,0.064,0.08
FEAWAD,0.172,0.45,0.012,0.028
XGBOD,0.572,0.805,0.18,0.109
LR,0.039,0.006,0.001,0.0
NB,0.054,0.109,0.001,0.001
SVM,0.0,0.0,0.0,0.0
MLP,0.003,0.011,0.0,0.0
RF,0.0,0.001,0.0,0.0
LGB,0.068,0.057,0.003,0.002
XGB,0.172,0.254,0.018,0.006
CatB,0.994,0.999,0.968,0.924
ResNet,0.0,0.001,0.0,0.0
FTTransformer,0.084,0.332,0.003,0.001
Meta_baseline_rs,0.0,0.0,0.0,0.0
Meta_baseline_ss,0.0,0.001,0.0,0.0
Meta_baseline_gt,1.0,1.0,1.0,1.0
