,Meta_DL_TwoStage,Meta_DL_End2End,Meta_ML_LightGBM,Meta_ML_CatBoost
GANomaly,0.0,0.0,0.0,0.0
DeepSAD,0.004,0.036,0.001,0.001
REPEN,0.0,0.0,0.0,0.0
DevNet,0.104,0.254,0.064,0.002
PReNet,0.233,0.665,0.189,0.028
FEAWAD,0.018,0.151,0.048,0.006
XGBOD,0.964,0.995,0.972,0.947
LR,0.028,0.151,0.021,0.008
NB,0.0,0.007,0.001,0.0
SVM,0.0,0.0,0.0,0.0
MLP,0.023,0.094,0.025,0.0
RF,0.172,0.292,0.203,0.068
LGB,0.87,0.97,0.924,0.827
XGB,0.827,0.95,0.888,0.687
CatB,0.999,1.0,1.0,1.0
ResNet,0.0,0.001,0.0,0.0
FTTransformer,0.187,0.668,0.237,0.109
Meta_baseline_rs,0.0,0.0,0.0,0.0
Meta_baseline_ss,0.0,0.003,0.0,0.0
Meta_baseline_gt,1.0,1.0,1.0,1.0
