,Meta_DL_TwoStage,Meta_DL_End2End,Meta_ML_LightGBM,Meta_ML_CatBoost
GANomaly,0.0,0.0,0.0,0.0
DeepSAD,0.002,0.002,0.006,0.003
REPEN,0.0,0.0,0.0,0.0
DevNet,0.009,0.042,0.08,0.009
PReNet,0.011,0.035,0.145,0.02
FEAWAD,0.001,0.003,0.008,0.0
XGBOD,0.781,0.763,0.911,0.763
LR,0.025,0.028,0.145,0.094
NB,0.001,0.001,0.002,0.0
SVM,0.0,0.0,0.0,0.0
MLP,0.005,0.003,0.011,0.005
RF,0.0,0.0,0.0,0.0
LGB,0.026,0.013,0.03,0.001
XGB,0.245,0.18,0.312,0.099
CatB,0.989,0.996,0.998,1.0
ResNet,0.0,0.0,0.0,0.0
FTTransformer,0.076,0.037,0.037,0.021
Meta_baseline_rs,0.0,0.0,0.0,0.0
Meta_baseline_ss,0.0,0.0,0.0,0.0
Meta_baseline_gt,1.0,1.0,1.0,1.0
